maint,persons,lug_boot,safety,doors,class,buying
med,2,small,low,4,unacc,vhigh
med,2,small,med,4,unacc,vhigh
med,2,small,high,4,unacc,vhigh
med,2,med,low,4,unacc,vhigh
med,2,med,med,4,unacc,vhigh
med,2,med,high,4,unacc,vhigh
med,2,big,low,4,unacc,vhigh
med,2,big,med,4,unacc,vhigh
med,2,big,high,4,unacc,vhigh
med,4,small,low,4,unacc,vhigh
med,4,small,med,4,unacc,vhigh
med,4,small,high,4,acc,vhigh
med,4,med,low,4,unacc,vhigh
med,4,med,med,4,acc,vhigh
med,4,med,high,4,acc,vhigh
med,4,big,low,4,unacc,vhigh
med,4,big,med,4,acc,vhigh
med,4,big,high,4,acc,vhigh
med,more,small,low,4,unacc,vhigh
med,more,small,med,4,unacc,vhigh
med,more,small,high,4,acc,vhigh
med,more,med,low,4,unacc,vhigh
med,more,med,med,4,acc,vhigh
med,more,med,high,4,acc,vhigh
med,more,big,low,4,unacc,vhigh
med,more,big,med,4,acc,vhigh
med,more,big,high,4,acc,vhigh
